question	choice_A	choice_B	choice_C	choice_D	answer
甲逐年上升。乙整体上上升。丙逐年下降。丁逐年上升。甲在早期最低，在后期最大。丁大于乙。下图为我国东部地区某市国内生产总值及三大产业结构变化曲线图，回答下列各题。下列有关该市产业结构的描述，正确的是（）	该市今后要提高农业的比重，以满足粮食需求	该市今后要推进第三产业的发展	图示时期之内第一产业的产值持续下降	图示时期之内第三产业的比重持续上升	B
2007年左右，人口抚养比约为50%抚养比是指人口中非劳动年龄人口数与劳动年龄人口数之比。当总抚养比≤50%时称为人口红利期。下图是我国沿海某省2000～2010年抚养比变化。该省开始进入人口红利期的时间（ ）	2000～2002年之间	2004～2006年之间	2006～2008年之间	2008～2010年之间	C
少儿抚养比重降低。老年抚养比重增大。抚养比是指人口中非劳动年龄人口数与劳动年龄人口数之比。当总抚养比≤50%时称为人口红利期。下图是我国沿海某省2000～2010年抚养比变化。该省（ ）	人口出生率上升	养老保障负担加重	工业化水平降低	企业“用工荒”加剧	B
2010比1995年原料增加，原料运费降低，产品运费增加。我国某大型企业的原料供应地和生产地长期稳定，且原料和产品的运输量相同，下表表示该企业不同年代产品成本构成，回答下列各题。表：某企业不同年代产品成本构成影响该大型企业布局的主导因素是（ ）	原料	能源	市场	劳动力	C
③地经度大于①地读图，完成：④所在的地形区是	青藏高原	四川盆地	横断山区	长江中下游平原	D
骑自行车出行方式1986—2011年逐步下降、2011后开始回升,公共交通也是在2011后明显上升,小汽车出行比例则在2011年后快速下降“绿色出行”新理念已为我国许多城市市民所接受。下图为“1986～2015 年某城市市民主要出行方式变化图”。读图回答下面小题。新理念对市民出行方式产生明显影响的年份开 始于（ ）	2000 年	2005 年	2007 年	2011 年	C
骑自行车、乘公共交通出行比重上升,小汽车出行比重下“绿色出行”新理念已为我国许多城市市民所接受。下图为“1986～2015 年某城市市民主要出行方式变化图”。读图回答下面小题。市民出行方式变化对该城市产生的主 要影响是	优化城市空间结构	改善城市交通状况	改变城市服务功能	扩大城市地域范围	B
小汽车出行耗时比自行车要短。地铁、轻轨耗时是最长。步行耗时最短。城市居民出行耗时的多少与交通方式的选择和出行距离相关。下表为我国某市和伦敦不同交通出行方式耗时表。据此完成下列问题。关于表中信息的判断，正确的是	高速度的交通工具有利于居民的出行	地铁、轻轨出行速度快，消耗时间较少	自行车、步行由于出行速度慢，消耗时间较长	出行距离一定时，出行速度越快，消耗时间越少	D
自行车和步行出行耗时短于其他交通方式。城市居民出行耗时的多少与交通方式的选择和出行距离相关。下表为我国某市和伦敦不同交通出行方式耗时表。据此完成下列问题。为改善城市交通环境，提高居民的出行效率，我国某市今后应优先保障	地铁和轻轨的快速发展	汽车和摩托车的道路建设	自行车和步行出行环境	城市内公共汽车的道路畅通	C
1992年底该城市总人口为68.7万,1993年底该城市总人口为80.2万。如图是我国东南沿海经济发达地区某新兴城市人口增长示意图．读图回答下题1992年至1993年，该城市的人口增长率是（ ）	16.7%	14.3%	0.9%	1.2%	A
该城市人口增长迅速如图是我国东南沿海经济发达地区某新兴城市人口增长示意图．读图回答下题1991年至1998年，该城市人口迅速增长的主要原因是（ ）	人口出生率高	人口死亡率低	大量人口迁入	原有人口基数小	C
该城市人口增长迅速如图是我国东南沿海经济发达地区某新兴城市人口增长示意图．读图回答下题该城市人口迅速增长，近期可能导致的主要问题是（ ）	人口老龄化突出	城市经济缺乏活力	社会劳动力不足	城市用地压力增大	D
①先增加后减小。②先减小后增加。③和④逐年上升。③大于④。人口的性别结构是指一个国家或地区两性人口数量的比例关系，它通常由性别比这个指标加以度量。性别比为平均每100名女性所对应的男性人口的数量。下图为四条人口性别比例曲线，读图回答下列各题。曲线②代表的性别比变化出现的地区是（）	辽中南工业基地	京津唐工业基地	长江三角洲工业区	珠江三角洲工业区	D
①先增加后减小。②先减小后增加。③和④逐年上升。③大于④。人口的性别结构是指一个国家或地区两性人口数量的比例关系，它通常由性别比这个指标加以度量。性别比为平均每100名女性所对应的男性人口的数量。下图为四条人口性别比例曲线，读图回答下列各题。20世纪80年代以来曲线②所示地区性别比较低的原因是（）	重工业发达，大量男性劳动力迁入	轻工业发达，大量女性劳动力迁入	不同性别死亡率不同造成的一种自然现象	当地重男轻女的思想严重	B
①先增加后减小。②先减小后增加。③和④逐年上升。③大于④。人口的性别结构是指一个国家或地区两性人口数量的比例关系，它通常由性别比这个指标加以度量。性别比为平均每100名女性所对应的男性人口的数量。下图为四条人口性别比例曲线，读图回答下列各题。曲线①峰值的出现可能带来的问题有（）	⑴⑵	⑵⑶	⑴⑶	⑴⑷	B
该地区水分盈亏量一直小于0下图表示我国某地区多年平均水分盈亏量（盈亏量＝降水量－蒸发量）年内逐月变化，据此回答下题。该地形区可能位于（ ）	河西走廊	东北平原	江汉平原	华北平原	A
该地区水分盈亏量一直小于0。6月份水分盈亏量最小。下图表示我国某地区多年平均水分盈亏量（盈亏量＝降水量－蒸发量）年内逐月变化，据此回答下题。制约该地区发展农业生产的主导因素是（ ）	光照	热量	水源	土壤	C
晴天热岛强度在12：00左右低于阴天；晴天上午8：00最高，有两个峰值热岛强度是指中心城区比郊区气温高出的数值大小，下图是某大城市热岛强度日变化示意图。读图完成下列问题。有关该城市热岛强度的描述，正确的是	晴天热岛强度一直高于阴天	阴天不存在热岛效应	晴天正午时，热岛强度最大	晴天时，热岛强度会出现两个峰值	D
晴天热岛强度在12：00左右低于阴天；晴天上午8：00最高，有两个峰值热岛强度是指中心城区比郊区气温高出的数值大小，下图是某大城市热岛强度日变化示意图。读图完成下列问题。对城市热岛强度成因的分析，正确的是	城市绿化越好，热岛强度越高	上午8时的峰值与人流、车流高峰期有关	地势低洼的地区，热岛强度较小	热岛强度仅受天气状况影响	B
a地在6月-9月地表有效辐射较低，在1月-5月和10月-12月地表有效辐射较高。b地在6月-9月地表有效辐射较高，在1月-5月和10月-12月地表有效辐射较低。c地在7月地表有效辐射较低，在3月-6月和8月-10月地表有效辐射较高。“地表有效辐射”是指地面辐射与地面吸收的大气逆辐射的差值，通常用“地表有效辐射通量密度”表示，通量密度越大，代表有效辐射越大。下图示意我国三个地区地表有效辐射通量密度的不同月份变化，据此回答下列问题。图中a、b、c三地分别是（ ）	腾冲、乌鲁木齐、哈尔滨	哈尔滨、乌鲁木齐、腾冲	乌鲁木齐、腾冲、哈尔滨	腾冲、哈尔滨、乌鲁木齐	A
8100年左右含盐量最高湖水中盐分含量的变化可以反映湖泊水位以及气候的变化，下图所示为青海湖近l．2万年以来盐分含量的变化。读图回答下列问题。青海湖近1．2万年来，最低水位出现的时间距今约	3900年	6500年	8100年	1万年	C
在2月-4月和7月-9月，该河流的月均流量较大。读我国某地一河流流量与含沙量逐月分布图，完成题。该河流春汛的主要补给是（ ）	冰川融水	季节性积雪融水	雨水	地下水	B
在2月-4月和7月-9月，该河流的月均流量较大。读我国某地一河流流量与含沙量逐月分布图，完成题。该地区夏季降水的最主要类型是（ ）	台风雨	锋面雨	地形雨	对流雨	B
两个时段都是本省车辆较多。腊月二十和三十两个时段的车辆户籍百分比和车流量看车辆数量相当。寒假，王教授回老家过年。在其家乡（县城）某路口统计了车流量和车辆信息，情况如下表。据此回答下列各题。从表中信息，可以确定	由于该地工业发达，外来车辆较多 	大年三十，因回家过年本省车辆较平时少	该地是旅游胜地，外地移民较多	统计时段，车辆数量和户籍构成差异均大	D
腊月二十除本省车辆外，湖北户籍的车辆多。腊月三十外省沪户籍的最多，其次为湖北、江苏户籍车辆。寒假，王教授回老家过年。在其家乡（县城）某路口统计了车流量和车辆信息，情况如下表。据此回答下列各题。若车辆构成的变化是由于外出务工人员回家，结合材料可以推测，王教授的老家是 	云南	安徽	新疆	广东	B
腊月二十除本省车辆外，湖北户籍的车辆多。腊月三十外省沪户籍的最多，其次为湖北、江苏户籍车辆。寒假，王教授回老家过年。在其家乡（县城）某路口统计了车流量和车辆信息，情况如下表。据此回答下列各题。大年初六王教授的老家气温骤降，大年初七王教授驾车回广州。大年初九，回到广州的王教授也感到气温骤降。则	途中气温逐渐下降，边走边加衣服	一路上东南风强劲，阻碍行程	出发时老家雪过新晴，气温回升	途中会遇上了降雨和大雾天	D
最低太阳高度为2°（子夜），最大太阳高度为42°（正午）北京时间2012年6月18日14时许，中国神舟九号飞船与天宫一号飞行器首次载人交会对接成功。航天员在天宫内生活了10天。下图是该期间某地某天的太阳高度变化情况。完成下列各题。该地的地理纬度是	78°N	64°34'N	70°N	66°34'N	C
最低太阳高度为2°（子夜），最大太阳高度为42°（正午）北京时间2012年6月18日14时许，中国神舟九号飞船与天宫一号飞行器首次载人交会对接成功。航天员在天宫内生活了10天。下图是该期间某地某天的太阳高度变化情况。完成下列各题。航天员在天官内生活期间	太阳直射点逐渐北移	福州正午太阳高度先增后减	地球公转速度逐渐加快	北极圈内极昼的范围逐渐扩大	B
M折线反映该功能用地由市中心向外都有分布且面积变化不大,1998-2002年该功能用地市中心附近面积减小,而市区外围增加。乌鲁木齐市地处天山北坡及以北地区,城市化对其市区土地利用的空间结构产生很大影响,读“乌鲁木齐市区各主要功能用地2002年面积分布图”与“1998~2002年变化幅度分布图”,完成小题。图中M折线表示()	绿化用地	工业用地	居住用地	商业用地	B
M折线反映该功能用地由市中心向外都有分布且面积变化不大,1998-2002年该功能用地市中心附近面积减小,而市区外围增加。乌鲁木齐市地处天山北坡及以北地区,城市化对其市区土地利用的空间结构产生很大影响,读“乌鲁木齐市区各主要功能用地2002年面积分布图”与“1998~2002年变化幅度分布图”,完成小题。能反映乌鲁木齐市由南到北土地利用变化的是()	荒漠、戈壁——耕地——林地、草地	林地、草地——荒漠、戈壁——耕地	荒漠、戈壁——林地、草地——耕地	林地、草地——耕地——荒漠、戈壁	D
①地区种植业占比大,商品率低,投入劳动力多。读几个地区农业基本情况比较表，完成下列各。①地区的农业地域类型可能是（ ）	季风水田农业	混合农业	商品谷物农业	种植园农业	A
②地区种植业和畜牧业并重,商品率高,投入劳动力数量少读几个地区农业基本情况比较表，完成下列各。与②地区农业相似的地区是（ ）	刚果盆地	四川盆地	墨累-达令盆地	大自流盆地	C
该种农作物在日本也有种植。读中国、印度、斯里兰卡、印度尼西亚、日本五国某种农作物的栽培面积和生产量表，回答下列各题。该种农作物是（ ）	茶叶	橡胶	咖啡	可可	A
核心城区居住用地占比减少外围城区居住用地占比增加。外围城区居住用地增加;核心城区工业用地占比涨幅大于外围城区工业用地占比涨幅,外围城区公共设施用地占比小于核心城区公共设施用地占比。城市的道路交通建设会改变沿线地域的土地利用类型。读我国某市轨道交通1号线开通前后土地利用的变化表，完成小题。城市轨道交通1号线开通前后，土地利用的主要变化特点是（ ）	核心城区和外围城区居住用地面积均减少	核心城区和外围城区工业用地面积均增加	核心城区工业用地面积增加大于外围城区工业用地面积增加	外围城区公共设施用地面积小于核心城区公共设施用地面积	B
核心城区居住用地占比减少外围城区居住用地占比增加。外围城区居住用地增加;核心城区工业用地占比涨幅大于外围城区工业用地占比涨幅,外围城区公共设施用地占比小于核心城区公共设施用地占比。城市的道路交通建设会改变沿线地域的土地利用类型。读我国某市轨道交通1号线开通前后土地利用的变化表，完成小题。城市轨道交通的快速发展对城市发展的积极影响是（ ）	有效缓解核心城区交通压力	加快逆城市化进程	加重城市的大气污染	增加了核心城区社会供应的压力	A
2040年郊区人口大于乡村人口。读某区域城市化战略设想图,回答下列各题下列关于该区域城乡人口变化的叙述,正确的是（ ）	2020--2030年乡村人口都转移到了郊区	2050年乡村人口只占30%	2040年郊区人口超过乡村人口	2050年中心城区人口数量与2000年相等	C
2020年以后乡村人口比重下降,城市人口比重上升,2010年城市人口比重约为50%,城市化水平约为50%。读某区域城市化战略设想图,回答下列各题下列关于该区域城市化水平的叙述,正确的是（ ）	2020年以后趋于下降	2010年约为50%	2030年超过80%	2040年以后保持稳定	B
径流量在7-8月较大。1-3月和9-12月接近0。下图为某河流的年径流量变化曲线示意图。读图，回答题。该河流位于()	热带季风区	亚热带大陆西岸	温带季风区	高寒地带	C
径流量在7-8月较大。1-3月和9-12月接近0。下图为某河流的年径流量变化曲线示意图。读图，回答题。能正确反映该河流水文特征的是()	由雨水补给为主	有一个汛期	春季断流	年径流总量大	A
吉林人口出生率与人口死亡率之差最大。常住人口增速吉林最小,并为负值。读2016年末东北三省的常住人口年变化率情況表，完成下面小題。2016年东北三省的常住人口（ ）	自然增长率黑龙江最高	人口只迁出，无迁入	人口净迁出率吉林最高	人口密度減小明显	C
黑龙江、吉林、辽宁常住人口增速都小于0。读2016年末东北三省的常住人口年变化率情況表，完成下面小題。东三省人口迁移的主要自然因素是（ ）	地形	气候	土壤	水源	B
该城市人口增长率一直大于0。某城市市区由中心城区和远城区构成，图14为该城市不同时段人口年均增长率变化图，读图回答下列各题。图示时期，该城市人口（ ）	总量先增后减	总量先减后增	远城区增长较快	中心城区逐渐减少	C
该城市人口增长率一直大于0。某城市市区由中心城区和远城区构成，图14为该城市不同时段人口年均增长率变化图，读图回答下列各题。图示人口变化表明该市（ ）	用地规模逐渐缩小	城市化水平不断提高	人口老龄化日趋严重	出现逆城市化现象	B
美国1945年至1970年间城市化进程速度快下图为美国20世纪城市化进程示意图，读图完成下列各题。关于“美国1945年至1970年间城市化进程的描述正确的是（ ）	处于城市化初期，问题较少	人口向城市迅速聚集，城市化进程加快	城市中心区开始衰落	生态城市、绿色城市观念深入人心	B
1995年前后，美国城市化速度减慢下图为美国20世纪城市化进程示意图，读图完成下列各题。1995年前后，美国城市化速度减慢的原因可能是（ ）	城市环境恶化，拉力因素减弱	工业化过程停滞，城市发展缓慢	大量城市人口转为农村人口	美国政府严格限制城市发展	A
城市化水平在1940-1970年间上升，而工业化水平下降。城市化水平高于工业化水平。城市化水平在70年代已达70%以上。工业化与城市化是推动区域经济社会发展的主要动力，读某国工业化与城市化进程图，回答下列问题。有关该国工业化和城市化进程特点的叙述，正确的是（）	工业化与城市化呈同步增长趋势	城市化水平与工业化水平不相适应	该国属于发展中国家	第三阶段该国经济增长主要来自第三产业	D
拉萨白天降水少，夜晚降水多。拉萨河流拥有丰富的物质文化和非物质文化资源，拉萨位于宽阔的拉萨河谷地北侧。下图为拉萨7月降水量日平均变化图。完成下列各题。有关拉萨7月降水日变化成因的叙述，正确的是	白天升温迅速，盛行上升气流，水汽不易凝结成雨	白天盛行下沉气流，水汽不易凝结成雨	夜晚近地面形成逆温层，水汽易凝结成雨	夜晚地面降温迅速，近地面水汽易凝结成雨	B
1990-2007年能源消费量大于GDP，2008-2010年GDP大于能源消费量图8是1990 ~2010B年. 我国能源消费与CGDP增长变化图。能源消费与GDP 的增长特点是	单位GDP 能源消费2002 年最低	能源消费量2007 年开始下降	能源消费与GDP 的年均增速相同	单位GDP 能源消费呈下降趋势	D
煤炭生产与消费结构差不断上升而且1997年以后为正值，所以煤炭生产量大于消费量，石油生产与消费结构差不断下降，1993年以后为负值，所以石油生产量小于消费量能源生产结构：某类能源的生产量占能源生产总量的比例。能源消费结构：某类能源的消费量占能源消费总量的比例。读下图“我国煤炭和石油生产与消费结构差”，回答下列问题。上图说明我国	煤炭在能源消费构成中的比重不断增加	石油的供需缺口不断加大	煤炭和石油的生产量同步增长	我国富煤少油的能源状况得到改善	B
煤炭生产与消费结构差不断上升而且1997年以后为正值，所以煤炭生产量大于消费量，石油生产与消费结构差不断下降，1993年以后为负值，所以石油生产量小于消费量能源生产结构：某类能源的生产量占能源生产总量的比例。能源消费结构：某类能源的消费量占能源消费总量的比例。读下图“我国煤炭和石油生产与消费结构差”，回答下列问题。目前，改善我国能源问题具可行性的措施有	限制石油化学工业的发展	以煤炭代替石油以提高能源自给率	积极拓宽石油进口渠道	以新能源全面替代常规能源	C
下游1、2月份流量大，夏季7、8月份流量小读“北半球某河流上、下游径流量季节变化曲线图”，完成下列各题。该河上、下游水源，最主要的补给方式，分别是	雨水、雨水	湖泊水、高山冰川融水	季节性积雪融水，雨水	高山冰川融水、雨水	D
随着人口加快增长,资源不断减少；人口增长,环境污染不断加重读“20世纪世界人口、资源、环境污染的相关示意图”，回答下列各题。关于人口增长、资源、环境污染相关关系的叙述，正确的是（ ）	人口增长与资源呈负相关，与环境污染呈无相关关系	人口增长与资源无相关关系，与环境污染呈正相关	人口增长与资源和环境污染均无相关关系	人口增长与资源呈负相关，与环境污染呈正相关	D
随着人口加快增长,资源不断减少读“20世纪世界人口、资源、环境污染的相关示意图”，回答下列各题。由图示可反映出制约环境人口容量最主要的因素是（ ）	资源	环境质量	科技发展水平	对外开放程度	A
①在5月-9月日照时数最大。全年①的日照时数大于③的日照时数。②的日照时数变化较小。下图示意我国部分省级行政区日照时数逐月变化。读图，完成下列各题。图中①②③所代表的省级行政区依次为（ ）	青海、陕西、新疆	新疆、陕西、青海	新疆、青海、陕西	陕西、青海、新疆	C
①在5月-9月日照时数最大。①的日照时数全年变化较大。下图示意我国部分省级行政区日照时数逐月变化。读图，完成下列各题。影响①省(区)日照时数逐月变化的主要因素是（ ）	海陆位置	海拔	天气状况	昼夜长短	D
2010年工资水平增长最快。下图是2010年以来我国生产要素价格与汇率变化折线图，据此完成下列各题。2010年以来生产成本明显上升的企业有（ ）	啤酒企业	炼油企业	服装企业	炼铝企业	C
1999年以来第一产业比重下降。第二产业比重先上升后下降。第二产业比重最大。下表为山东威海市近年来三大产业结构比例（%）及国内GDP总值（亿元）统计表。据此回答下列各题。1999年以来，威海市（ ）	第一产业产值持续下降	城市化水平持续提高	第二产业产值先上升后下降	第三产业为主导	B
1999年以来第一产业比重下降。第二产业比重先上升后下降。第二产业比重最大。下表为山东威海市近年来三大产业结构比例（%）及国内GDP总值（亿元）统计表。据此回答下列各题。与1999年相比，目前威海市（ ）	开放程度更低	外来人口迁入量更少	环境承载力更小	产业结构更加合理	D
能源消费弹性系数先增加后减小。GDP增长率总体上上升。能源消费弹性系数是指能源消费的增长率与GDP增长率之比。该图是“我国能源消费弹性系数和GDP增长率曲线图”，读图完成问题。下列叙述正确的是	我国能源消费弹性系数持续上升	能源利用率越高，能源消费弹性系数越大	人口数量变化是引起能源消费弹性系数变化的主要因素	能源消费弹性系数在一定程度上能反映国民经济结构的变化	D
2002-2004年能源消费弹性系数较高。能源消费弹性系数是指能源消费的增长率与GDP增长率之比。该图是“我国能源消费弹性系数和GDP增长率曲线图”，读图完成问题。2002—2004年间，我国的能源消费弹性系数较高，可能的原因是	科技水平迅速提高	高耗能产业快速发展	居民生活用能迅速减少	第三产业比重上升	B
该省年末常住人口在3830万左右。下表是我国某省2010~2014年人口数据表。人口的数量变化对农业、工业都有非常重要的影响。该省是我国耕地面积大、重工业比重大的省份。据此回答以下问题。该省最可能是	安徽	广东	黑龙江	浙江	C
该省年末常住人口在3830万左右。下表是我国某省2010~2014年人口数据表。人口的数量变化对农业、工业都有非常重要的影响。该省是我国耕地面积大、重工业比重大的省份。据此回答以下问题。影响该省常住人口总数变化的主要因素是	环境	经济	政策	气候	B
从2010年-2014年，该省人口自然增长率逐年降低。下表是我国某省2010~2014年人口数据表。人口的数量变化对农业、工业都有非常重要的影响。该省是我国耕地面积大、重工业比重大的省份。据此回答以下问题。针对表中所反映的现象，该省采取的措施不合理的是	积极推进全面二孩生育政策	制定引进优秀人才优惠政策	提高农业生产机械化水平	扩大重工业生产规模，增加就业	D
②的人口出生率和人口死亡率都较高。下图反映四个国家的人口出生率和死亡率，据此完成下列各题。图中②国最可能是（ ）	印度	德国	日本	中国	A
我国人口增长速度在下降我国通过实施计划生育政策来控制人口增长，取得了显著效果。下图为我国人口年增长曲线图。图中信息可以说明	我国人口数量在减少，城市化速度下降	我国人口自然增长率降低，但社会负担仍不断加重	我国人口出生率降低，就业困难问题得到解决	我国人口死亡率在降低，人口数量持续下降	B
2020~2040年总抚养比呈持续上升。总抚养比是指非劳动年龄（0～19岁、65岁及以上）人口与劳动年龄（20～64岁）人口之比，包括青少儿抚养比（0～19岁人口与劳动人口之比）和老年抚养比（65岁及以上人口与劳动人口之比）。2016年1月1日起，我国全面放开二孩政策。下图为我国青少儿抚养比和老年抚养比变化预测图。据此回答下列问题。我国总抚养比呈持续上升的时间段是（ ）	2000～2020年	2020～2040年	2040～2060年	2060～2080年	B
2020~2040年总抚养比呈持续上升，2040~2060年总抚养比先降后升。总抚养比是指非劳动年龄（0～19岁、65岁及以上）人口与劳动年龄（20～64岁）人口之比，包括青少儿抚养比（0～19岁人口与劳动人口之比）和老年抚养比（65岁及以上人口与劳动人口之比）。2016年1月1日起，我国全面放开二孩政策。下图为我国青少儿抚养比和老年抚养比变化预测图。据此回答下列问题。全面放开二孩政策20年内，我国（ ）	青少儿抚养比升高，教育资源浪费	老年抚养比逐年升高，养老负担加重	总抚养比先升后降，利于经济发展	总抚养比持续上升，社会负担加重	D
华北地区和浙江丘陵径流系数差距较大。华北地区径流系数小。云贵高原径流系数小。山区的径流系数大于平原地区。径流系数就是某一时期的径流量（毫米）与这一时期的降水量（毫米）之比，用百分率表示，它能反映一个地区降水量有多少变成径流补给河流，有多少被蒸发或下渗。下表是我国部分地区的径流系数，根据表中数据，回答下列各题。根据表中的数据，分析得出 ( )	华北地区和浙江丘陵径流系数差距较大，是因为华北地区蒸发量小	降水量多的地区径流系数就一定大	云贵高原的径流系数小于南岭地区，是因为地形平坦	在其他条件相同的情况下，径流系数山区大于平原地区	D
华北地区和浙江丘陵径流系数差距较大。华北地区径流系数小。云贵高原径流系数小。山区的径流系数大于平原地区。径流系数就是某一时期的径流量（毫米）与这一时期的降水量（毫米）之比，用百分率表示，它能反映一个地区降水量有多少变成径流补给河流，有多少被蒸发或下渗。下表是我国部分地区的径流系数，根据表中数据，回答下列各题。调查发现南岭地区径流系数有增大的趋势，下列叙述正确的是（）	南岭地区近些年来，森林植被被破坏，对水源涵养有减弱趋势，不稳定径流增大	径流系数增大，说明南岭地区降水量增大	南岭地区径流系数增大，河流补给变得稳定，水位季节变化减少	南岭地区径流系数增大，说明雨水流失量越来越少	A
在80°-100°，叶面积指数较小下图是我国30°N植被叶面积指数变化示意图(叶面积指数是指单位土地面积上植物叶片总面积占土地面积的倍数)。读图完成下列各题。造成我国100°E以西地区植被叶面积指数较小的最主要因素是（ ）	冰川	降水	海拔	土壤	B
100°-125°叶面积指数波动上升。下图是我国30°N植被叶面积指数变化示意图(叶面积指数是指单位土地面积上植物叶片总面积占土地面积的倍数)。读图完成下列各题。我国100°E以东地区植被叶面积变化，反映的地域分异规律主要是（ ）	纬度地带性	非地带性	垂直地带性	经度地带性	D
日出时间逐渐减小。日落时间逐渐增加。下表为“我国某城市学生连续三天实测日出、日落时刻（北京时间）和正午标杆影长记录表”，据此完成下列各题。此时段	地球在公转轨道上接近远日点	南极圈内极昼的范围逐渐扩大	太阳直射点位于南半球且向北移	射入屋内的阳光面积达全年最小	C
日出时间逐渐减小。日落时间逐渐增加。日出时间在7：22左右，日落时间在17：35左右。下表为“我国某城市学生连续三天实测日出、日落时刻（北京时间）和正午标杆影长记录表”，据此完成下列各题。关于此时段所属季节，下列叙述正确的是	非洲热带草原草木枯黄	吉林松花江适宜观赏雾凇	我国西南山区易发生泥石流	俄罗斯北部候鸟迁入	B
气温日较差大，白天气温高，夜晚气温低。最高气温约为15℃。最低气温约为5摄氏度。下图为我国某地1月份最高气温和最低气温曲线图。读图，完成下列各题。下列日期前后最有可能出现阴雨天气的是	1日	8日	16日	26日	B
气温日较差大，白天气温高，夜晚气温低。最高气温约为15℃。最低气温约为5摄氏度。下图为我国某地1月份最高气温和最低气温曲线图。读图，完成下列各题。该地有可能位于我国	长江三角洲	黄土高原	珠江三角洲	塔里木盆地	C
1月地—气系统的辐射差额达到最小值,1-4月地—气系统的辐射差额为负地—气系统(大气和地面)吸收太阳短波辐射(能量收入)，又向外发射长波辐射(能量支出)，能量收支的差值，称为辐射差额。下图示意沿海某地多年平均辐射差额的月份分配。读图结合材料完成下列问题地—气系统内存在着能量传递与转换，传递与转换形式多样，其中能促使温室效应增强的大气过程是大气	对太阳辐射的散射增强	射向地面的辐射增强	对太阳辐射的吸收增强	射向宇宙空间的辐射增强	B
1月地—气系统的辐射差额达到最小值,1-4月地—气系统的辐射差额为负地—气系统(大气和地面)吸收太阳短波辐射(能量收入)，又向外发射长波辐射(能量支出)，能量收支的差值，称为辐射差额。下图示意沿海某地多年平均辐射差额的月份分配。读图结合材料完成下列问题若只考虑辐射差额对气温的影响，该地气温最低的月份是	1月	4月	8月	12月	B
三大产业不都是趋向于集中，农业集中度呈下降的趋势。工业布局是先集中后又分散，服务业总体趋向集聚。地理集中度表示产业在区域空间的集聚程度，数值越小，集中度越低，反之越高。读我国三大产业的地理集中度变化曲线图，完成第下题。近30年以来，我国三大产业空间格局呈现的变化是	三大产业都趋向于集中	农业集中度越来越高	工业布局一直趋向分散	服务业总体趋向集聚	D
80年代以后，我国土地荒漠化面积扩大加速。该表为“我国土地荒漠化发展情况”，读表回答80年代以后，加速我国土地荒漠化面积扩大的主要原因是（ ）	气候变暧，降水减少	冬季风强劲，沙尘暴频发	过度放牧，过度开垦	夏季风强劲，台风影响大	C
年生物量基本和可承载人口呈正相关。下表为“我国部分地区的土地生产潜力和最大可能人口密度表”。结合下表，回答下列各题。表中信息反映的影响人口承载力的主导因素是（ ）	科技水平	自然资源	开放程度	消费水平	B
地面温度总是高于气温。地面温度和气温变化趋势一致。读图完成问题。如图所示，地面温度与气温的关系是（ ）	地面温度总是高于气温	气温越高，地气温差越小	地面温度总是低于气温	气温越低，地气温差越大	A
地面温度总是高于气温。地面温度和气温变化趋势一致。读图完成问题。地面温度与气温的关系，说明地理原理是（ ）	地面是大气的直接热源	大气是地面的直接热源	太阳是地面的直接热源	太阳是地面的间接热源	A
我国人口潜在支持比持续下降。“潜在支持比”指一个国家的劳动年龄人口（15～64岁）与老年人口（65岁以上）的比率。下图为“我国人口潜在支持比趋势图”。读图回答下列各题。图中信息反映了未来我国( )	社会养老负担加重	老龄人口比重下降	青壮年劳动力过剩	教育资源严重短缺	A
我国人口潜在支持比持续下降。“潜在支持比”指一个国家的劳动年龄人口（15～64岁）与老年人口（65岁以上）的比率。下图为“我国人口潜在支持比趋势图”。读图回答下列各题。2016年1月1日起，我国正式实施全面二孩政策。此项政策可能导致( )	人口死亡率上升	人口增长加快	潜在支持比下降	人口容量增加	B
13时到17时之间，PM2.5指数较小2013年12月上旬，长三角地区出现罕见的雾霾。下图反映绍兴某日近地面的PM2.5指数变化（指数越大污染越严重）。完成下列各题。该日午后PM2.5指数低，其原因最可能是	对流运动增强，雾霾扩散快	太阳辐射增强，雾滴被蒸发	大气降水，降尘作用明显	逆温层厚度大，雾霾位置低	A
全年降水量小于800mm，夏季降水量最大该表是我国某区域四季平均降水量和各等级降水量(mm)，表中各等级降雨包含其它降水形式。据此完成下列问题。该区域的气候类型为	亚热带季风气候	温带大陆性气候	温带季风气候	热带季风气候	C
全年降水量小于800mm，夏季降水量最大该表是我国某区域四季平均降水量和各等级降水量(mm)，表中各等级降雨包含其它降水形式。据此完成下列问题。该区域不可能发生的现象是	春季河流出现汛期	夏季台风频繁登陆	秋季旱情严重	冬季受沙尘天气影响	B
第二产业产值比重最大。城市人口比重持续上升，且增长速度较快。第三产业产值比重持续上升。第一产业产值比重持续降低。下图为“我国某省区三大产业产值比重与城市人口比重的变化图”，其中①代表第二产业产值比重的变化，②代表城市人口比重的变化，③代表第三产业产值比重的变化，④代表第一产业产值比重的变化。读图完成下题。分析图中各曲线的变化特点，判断该省区最可能是( )	江苏省	河南省	四川省	海南省	A
